Date,Month,Temp,Precip,Discharge,Height
12/1/15,12,-2.1569,0.0254,76.4100,1.2774
12/2/15,12,-0.3498,0.0000,77.8250,1.2824
12/3/15,12,0.6019,0.0000,79.5230,1.2896
12/4/15,12,4.9074,0.0000,80.3720,1.2927
12/5/15,12,4.9786,0.0000,80.9380,1.2952
12/6/15,12,4.6759,0.0000,81.5040,1.2980
12/7/15,12,6.4352,0.0000,80.3720,1.2928
12/8/15,12,8.7731,0.0000,81.7870,1.3004
12/9/15,12,9.2130,0.0000,81.7870,1.3016
12/10/15,12,10.0463,0.0000,79.8060,1.2914
12/11/15,12,5.2778,0.0000,76.9760,1.2799
12/12/15,12,1.7718,0.1016,74.1460,1.2677
12/13/15,12,1.0979,2.0828,74.7120,1.2703
12/14/15,12,0.1250,1.4478,90.2770,1.3411
12/15/15,12,0.9343,0.1016,84.3340,1.3137
12/16/15,12,-2.2980,0.0000,80.3720,1.2934
12/17/15,12,-3.6667,0.0000,73.8630,1.2670
12/18/15,12,-4.5370,0.0000,70.4670,1.2522
12/19/15,12,0.2083,0.0000,70.1840,1.2508
12/20/15,12,1.1966,0.0000,55.7510,1.1861
12/21/15,12,-1.5134,0.0000,65.0900,1.2271
12/22/15,12,1.5509,0.0000,74.7120,1.2697
12/23/15,12,2.4074,0.0508,81.7870,1.3005
12/24/15,12,-2.9932,0.2794,84.6170,1.3122
12/25/15,12,-2.7778,0.4318,81.2210,1.2975
12/26/15,12,-3.0051,0.0508,82.0700,1.3005
12/27/15,12,-8.7449,0.0000,81.7870,1.2993
12/28/15,12,-8.6856,0.1524,71.8820,1.2561
12/29/15,12,-6.2698,0.0000,65.9390,1.2315
12/30/15,12,-6.8627,0.0508,80.0890,1.2919
12/31/15,12,-8.6207,0.0000,88.8620,1.3308
1/1/16,1,-4.0741,0.0000,87.7300,1.3257
1/2/16,1,-2.5000,0.0000,82.9190,1.3048
1/3/16,1,-5.3009,0.0000,68.2030,1.2420
1/4/16,1,-10.0192,0.0000,80.3720,1.2935
1/5/16,1,-1.9444,0.0000,92.8240,1.3469
1/6/16,1,0.3561,0.0762,86.3150,1.3189
1/7/16,1,-0.0725,0.0254,80.6550,1.2959
1/8/16,1,-2.6263,0.1016,93.9560,1.3499
1/9/16,1,-10.3419,0.0254,86.3150,1.3654
1/10/16,1,-11.5046,0.0000,82.9190,1.3772
1/11/16,1,-0.6197,0.0000,88.5790,1.3935
1/12/16,1,-5.1802,0.0000,86.8810,1.3894
1/13/16,1,2.4537,0.0000,87.4470,1.3880
1/14/16,1,4.4213,0.0000,84.6170,1.4062
1/15/16,1,-2.5986,0.0000,79.5230,1.3348
1/16/16,1,-6.6537,0.0762,70.1840,1.3064
1/17/16,1,-14.7421,0.0254,66.2220,1.2767
1/18/16,1,-9.8214,0.0000,65.0900,1.2439
1/19/16,1,-6.2269,0.3048,68.2030,1.3569
1/20/16,1,-2.5884,0.1524,73.8630,2.1040
1/21/16,1,-3.4480,0.0000,79.2400,2.2341
1/22/16,1,-5.4054,0.0000,80.9380,2.2026
1/23/16,1,-4.3954,0.0000,82.9190,2.1654
1/24/16,1,-2.1581,0.0000,83.7680,2.1427
1/25/16,1,-1.5409,0.0254,82.9190,2.1072
1/26/16,1,-2.0782,0.0000,82.3530,2.0398
1/27/16,1,1.4222,0.0000,86.0320,1.9983
1/28/16,1,3.5185,0.0000,89.7110,1.7385
1/29/16,1,5.0926,0.0000,90.5600,1.5635
1/30/16,1,4.1204,0.0000,88.2960,1.4283
1/31/16,1,3.2222,0.0000,91.4090,1.3352
2/1/16,2,0.0123,0.4318,89.9940,1.3301
2/2/16,2,-2.3258,1.2446,90.8430,1.3585
2/3/16,2,-6.8619,0.0000,87.4470,1.3698
2/4/16,2,-7.8935,0.0000,88.5790,1.3521
2/5/16,2,-2.0417,0.1016,93.6730,1.3913
2/6/16,2,-2.1065,0.0000,97.9180,1.4359
2/7/16,2,2.3148,0.0000,99.8990,1.3952
2/8/16,2,-1.7556,0.0000,97.9180,1.3913
2/9/16,2,-5.1389,0.0000,89.1450,1.3761
2/10/16,2,0.5350,0.0000,87.7300,1.3855
2/11/16,2,-2.8254,0.0000,88.2960,1.3910
2/12/16,2,-3.7179,0.0000,82.3530,1.3684
2/13/16,2,-7.9487,0.0000,80.0890,1.3572
2/14/16,2,0.9259,0.0000,82.0700,1.3626
2/15/16,2,2.1065,0.0000,91.6920,1.3916
